Gene Symbol	Ensembl ID
BHLHA9	ENSMUSG00000044243
ZFP341	ENSMUSG00000059842
CYP51	ENSMUSG00000001467
SNX33	ENSMUSG00000032733
MRPL54	ENSMUSG00000034932
GPR17	ENSMUSG00000052229
PDXK	ENSMUSG00000032788
RNF5	ENSMUSG00000015478
NASP	ENSMUSG00000028693
CFL2	ENSMUSG00000062929
RSAD1	ENSMUSG00000039096
RAB5IF	ENSMUSG00000027637
TIMM23	ENSMUSG00000013701
LOXL3	ENSMUSG00000000693
MORN5	ENSMUSG00000026894
CCNQ	ENSMUSG00000049489
KCNMA1	ENSMUSG00000063142
CENPH	ENSMUSG00000045273
ADARB2	ENSMUSG00000052551
SRM	ENSMUSG00000006442
SLITRK4	ENSMUSG00000046699
CFDP1	ENSMUSG00000031954
KLHL24	ENSMUSG00000062901
ARHGAP17	ENSMUSG00000030766
PROX1	ENSMUSG00000010175
LRRC56	ENSMUSG00000038637
SPON1	ENSMUSG00000038156
CENPS	ENSMUSG00000073705
TSACC	ENSMUSG00000010538
MYL9	ENSMUSG00000067818
CAPRIN1	ENSMUSG00000027184
DARS2	ENSMUSG00000026709
IRF8	ENSMUSG00000041515
ITPR3	ENSMUSG00000042644
MSC	ENSMUSG00000025930
SVIL	ENSMUSG00000024236
PCSK7	ENSMUSG00000035382
GRAMD1B	ENSMUSG00000040111
ST3GAL2	ENSMUSG00000031749
CTSK	ENSMUSG00000028111
CCL27A	ENSMUSG00000073888
ELP6	ENSMUSG00000054836
FOXF2	ENSMUSG00000038402
SYNE2	ENSMUSG00000063450
NT5C3	ENSMUSG00000029780
ATF4	ENSMUSG00000042406
FAHD2A	ENSMUSG00000027371
CDH4	ENSMUSG00000000305
ARHGAP8	ENSMUSG00000078954
SH3PXD2A	ENSMUSG00000053617
HARS	ENSMUSG00000001380
ABI3	ENSMUSG00000018381
0610009E02RIK	ENSMUSG00000086714
FAM222A	ENSMUSG00000041930
SLFN5	ENSMUSG00000054404
KIF1C	ENSMUSG00000020821
ING1	ENSMUSG00000045969
CHAC1	ENSMUSG00000027313
PAFAH1B3	ENSMUSG00000005447
ZWILCH	ENSMUSG00000032400
MYO5B	ENSMUSG00000025885
ANKRD28	ENSMUSG00000014496
UTRN	ENSMUSG00000019820
PXK	ENSMUSG00000033885
RGS8	ENSMUSG00000042671
RNF213	ENSMUSG00000070327
GET4	ENSMUSG00000025858
ABCB10	ENSMUSG00000031974
TINF2	ENSMUSG00000007589
CTNNAL1	ENSMUSG00000038816
DAGLB	ENSMUSG00000039206
OLIG1	ENSMUSG00000046160
TENT5A	ENSMUSG00000032265
ARHGAP21	ENSMUSG00000036591
GM15545	ENSMUSG00000087138
2900005J15RIK	ENSMUSG00000043833
DDX6	ENSMUSG00000032097
MAP4K3	ENSMUSG00000024242
ZMYM2	ENSMUSG00000021945
UNC79	ENSMUSG00000021198
DNAJC10	ENSMUSG00000027006
SPATA5	ENSMUSG00000027722
LMO3	ENSMUSG00000030226
CTTNBP2NL	ENSMUSG00000062127
GTF3A	ENSMUSG00000016503
BRK1	ENSMUSG00000033940
STMN4	ENSMUSG00000022044
XRCC3	ENSMUSG00000021287
CSNK1E	ENSMUSG00000022433
CHORDC1	ENSMUSG00000001774
RABGAP1L	ENSMUSG00000026721
SH3GL3	ENSMUSG00000030638
CAR12	ENSMUSG00000032373
KCNB2	ENSMUSG00000092083
N4BP3	ENSMUSG00000001053
CCDC136	ENSMUSG00000029769
KCNH5	ENSMUSG00000034402
FLT4	ENSMUSG00000020357
FAN1	ENSMUSG00000033458
SNAP29	ENSMUSG00000022765
RNF14	ENSMUSG00000060450
CCDC184	ENSMUSG00000029875
PGLS	ENSMUSG00000031807
CAMK2N2	ENSMUSG00000051146
WFS1	ENSMUSG00000039474
NRG1	ENSMUSG00000062991
ITIH3	ENSMUSG00000006522
MIER3	ENSMUSG00000032727
HSPA12A	ENSMUSG00000025092
TSTD1	ENSMUSG00000103711
SCNM1	ENSMUSG00000092607
FAM107A	ENSMUSG00000021750
PRAF2	ENSMUSG00000031149
MLLT11	ENSMUSG00000053192
RPS10	ENSMUSG00000052146
ANO3	ENSMUSG00000074968
SDHB	ENSMUSG00000009863
USP51	ENSMUSG00000067215
GFPT1	ENSMUSG00000029992
SSH1	ENSMUSG00000042121
NAA40	ENSMUSG00000024764
CEPT1	ENSMUSG00000040774
SEPTIN3	ENSMUSG00000022456
IL13RA1	ENSMUSG00000017057
1810058I24RIK	ENSMUSG00000073155
GPAT3	ENSMUSG00000029314
NSMCE2	ENSMUSG00000059586
FAM185A	ENSMUSG00000047221
USP34	ENSMUSG00000056342
BRIX1	ENSMUSG00000022247
TXNDC9	ENSMUSG00000058407
GON7	ENSMUSG00000091931
MEX3B	ENSMUSG00000057706
LINS1	ENSMUSG00000053091
GAS5	ENSMUSG00000053332
MTMR1	ENSMUSG00000015214
MBTD1	ENSMUSG00000059474
PROSER1	ENSMUSG00000049504
CDR2L	ENSMUSG00000050910
FXN	ENSMUSG00000059363
IZUMO4	ENSMUSG00000055862
SLC5A3	ENSMUSG00000089774
KDM6A	ENSMUSG00000037369
KCNC2	ENSMUSG00000035681
ZDBF2	ENSMUSG00000027520
MATN4	ENSMUSG00000016995
MAP7	ENSMUSG00000019996
CTBS	ENSMUSG00000028189
RPS28	ENSMUSG00000067288
DLX1AS	ENSMUSG00000084946
ALG2	ENSMUSG00000039740
UBE2F	ENSMUSG00000034343
1700086O06RIK	ENSMUSG00000097080
PRRC2C	ENSMUSG00000040225
ZFP758	ENSMUSG00000044501
COX5B	ENSMUSG00000061518
ERGIC3	ENSMUSG00000005881
NSUN3	ENSMUSG00000050312
ARF6	ENSMUSG00000044147
ZBBX	ENSMUSG00000034151
ASXL2	ENSMUSG00000037486
MRPS18A	ENSMUSG00000023967
RFX4	ENSMUSG00000020037
CNNM1	ENSMUSG00000025189
PTN	ENSMUSG00000029838
PCM1	ENSMUSG00000031592
SIN3B	ENSMUSG00000031622
DPH2	ENSMUSG00000028540
FOXP4	ENSMUSG00000023991
RBMXL1	ENSMUSG00000037070
CACNA1A	ENSMUSG00000034656
ALKBH4	ENSMUSG00000039754
CYB561	ENSMUSG00000019590
MOG	ENSMUSG00000076439
ATG12	ENSMUSG00000032905
THBS3	ENSMUSG00000028047
DDC	ENSMUSG00000020182
ACTN4	ENSMUSG00000054808
TXNDC12	ENSMUSG00000028567
PNN	ENSMUSG00000020994
ARFIP1	ENSMUSG00000074513
ARCN1	ENSMUSG00000032096
GRK6	ENSMUSG00000074886
TMEM19	ENSMUSG00000069520
PRPS1	ENSMUSG00000031432
MAGEH1	ENSMUSG00000047238
MNS1	ENSMUSG00000032221
SARDH	ENSMUSG00000009614
SANBR	ENSMUSG00000042208
SMG1	ENSMUSG00000030655
ATL2	ENSMUSG00000059811
RPH3AL	ENSMUSG00000020847
IPO4	ENSMUSG00000002319
L1CAM	ENSMUSG00000031391
SLC6A20A	ENSMUSG00000036814
NDUFB9	ENSMUSG00000022354
RBFOX2	ENSMUSG00000033565
TDRD5	ENSMUSG00000060985
TGFB1I1	ENSMUSG00000030782
RPL9	ENSMUSG00000047215
SEMA3E	ENSMUSG00000063531
KCNQ3	ENSMUSG00000056258
ZDHHC13	ENSMUSG00000030471
CSTPP1	ENSMUSG00000040591
FAM107B	ENSMUSG00000026655
MTOR	ENSMUSG00000028991
ZSWIM4	ENSMUSG00000035671
MYL4	ENSMUSG00000061086
NEFL	ENSMUSG00000022055
ZFP282	ENSMUSG00000025821
EGLN2	ENSMUSG00000058709
LSM14A	ENSMUSG00000066568
RFX3	ENSMUSG00000040929
ATP8B5	ENSMUSG00000028457
FBRS	ENSMUSG00000042423
TPPP	ENSMUSG00000021573
PCDHB16	ENSMUSG00000047910
C630043F03RIK	ENSMUSG00000084910
TNRC18	ENSMUSG00000039477
DMXL2	ENSMUSG00000041268
RPRD2	ENSMUSG00000028106
AKR1B3	ENSMUSG00000001642
SNAI1	ENSMUSG00000042821
BAZ1B	ENSMUSG00000002748
TTC30A1	ENSMUSG00000075271
LAMB1	ENSMUSG00000002900
SMARCD1	ENSMUSG00000023018
ATP5J2	ENSMUSG00000038690
DPP8	ENSMUSG00000032393
SLIT1	ENSMUSG00000025020
WNK1	ENSMUSG00000045962
GALE	ENSMUSG00000028671
COPZ2	ENSMUSG00000018672
PPP1R1B	ENSMUSG00000061718
LAMA5	ENSMUSG00000015647
PICK1	ENSMUSG00000068206
GSK3A	ENSMUSG00000057177
NIT2	ENSMUSG00000022751
IREB2	ENSMUSG00000032293
CALB2	ENSMUSG00000003657
SDCBP2	ENSMUSG00000027456
EPHB2	ENSMUSG00000028664
TIMM9	ENSMUSG00000021079
SLC6A1	ENSMUSG00000030310
ATG4A	ENSMUSG00000079418
SH3RF2	ENSMUSG00000057719
UBALD1	ENSMUSG00000039568
RSKR	ENSMUSG00000037593
FAM13B	ENSMUSG00000036501
USP4	ENSMUSG00000032612
CFAP20	ENSMUSG00000031796
NDST1	ENSMUSG00000054008
EFHD2	ENSMUSG00000040659
TMEM65	ENSMUSG00000062373
MPG	ENSMUSG00000020287
RABL2	ENSMUSG00000022621
ARHGAP39	ENSMUSG00000033697
MOCOS	ENSMUSG00000039616
PTOV1	ENSMUSG00000038502
PDE11A	ENSMUSG00000075270
GPX2	ENSMUSG00000042808
GLI2	ENSMUSG00000048402
DNAJC25	ENSMUSG00000070972
DYNC1H1	ENSMUSG00000018707
PFKFB4	ENSMUSG00000025648
MSTO1	ENSMUSG00000068922
SLC16A11	ENSMUSG00000040938
NTN4	ENSMUSG00000020019
PCED1A	ENSMUSG00000037773
CLDN12	ENSMUSG00000046798
RETREG1	ENSMUSG00000022270
MTTP	ENSMUSG00000028158
ARHGEF28	ENSMUSG00000021662
RTN4R	ENSMUSG00000043811
ATF2	ENSMUSG00000027104
ENTPD2	ENSMUSG00000015085
TMEM178B	ENSMUSG00000057716
TAL1	ENSMUSG00000028717
GEMIN7	ENSMUSG00000044709
TDO2	ENSMUSG00000028011
CAPRIN2	ENSMUSG00000030309
CDC45	ENSMUSG00000000028
EIF2AK3	ENSMUSG00000031668
KCNK4	ENSMUSG00000024957
SUDS3	ENSMUSG00000066900
FBXO45	ENSMUSG00000035764
CYP4X1	ENSMUSG00000047155
RALGPS2	ENSMUSG00000026594
PKIA	ENSMUSG00000027499
OGA	ENSMUSG00000025220
RBM25	ENSMUSG00000010608
NUP133	ENSMUSG00000039509
NRBP1	ENSMUSG00000029148
AP2M1	ENSMUSG00000022841
SPRYD3	ENSMUSG00000036966
CERS4	ENSMUSG00000008206
PSMA4	ENSMUSG00000032301
TMEM237	ENSMUSG00000038079
RPL34-PS1	ENSMUSG00000068396
DPEP1	ENSMUSG00000019278
SYT3	ENSMUSG00000030731
TPCN1	ENSMUSG00000032741
LARP1	ENSMUSG00000037331
SHANK3	ENSMUSG00000022623
TOR3A	ENSMUSG00000060519
XNTRPC	ENSMUSG00000070425
ATP23	ENSMUSG00000025436
CAP2	ENSMUSG00000021373
ZFYVE27	ENSMUSG00000018820
GLMN	ENSMUSG00000029276
STAP2	ENSMUSG00000038781
GREM1	ENSMUSG00000074934
REPIN1	ENSMUSG00000052751
EP300	ENSMUSG00000055024
2610306M01RIK	ENSMUSG00000100164
CDK5RAP1	ENSMUSG00000027487
TMEM184B	ENSMUSG00000009035
LAMC1	ENSMUSG00000026478
TEX261	ENSMUSG00000014748
LRRFIP2	ENSMUSG00000032497
1110059E24RIK	ENSMUSG00000035171
RAMP2	ENSMUSG00000001240
TAGAP1	ENSMUSG00000052031
RGMB	ENSMUSG00000048027
NSUN7	ENSMUSG00000029206
SMAD3	ENSMUSG00000032402
GYG	ENSMUSG00000019528
SOCS3	ENSMUSG00000053113
DNAJB2	ENSMUSG00000026203
SGPL1	ENSMUSG00000020097
IQSEC3	ENSMUSG00000040797
CCDC84	ENSMUSG00000043923
MYO1E	ENSMUSG00000032220
RYK	ENSMUSG00000032547
COMMD1	ENSMUSG00000051355
MRO	ENSMUSG00000064036
CUL4B	ENSMUSG00000031095
ATXN2L	ENSMUSG00000032637
SEC11C	ENSMUSG00000024516
CRABP1	ENSMUSG00000032291
INO80D	ENSMUSG00000040865
MTIF2	ENSMUSG00000020459
CHODL	ENSMUSG00000022860
PSD	ENSMUSG00000037126
SNTG2	ENSMUSG00000020672
AOX1	ENSMUSG00000063558
FOXK2	ENSMUSG00000039275
NRG3	ENSMUSG00000041014
BRI3BP	ENSMUSG00000037905
RUNX1T1	ENSMUSG00000006586
EFR3A	ENSMUSG00000015002
ATL3	ENSMUSG00000024759
NSRP1	ENSMUSG00000037958
NHLRC1	ENSMUSG00000044231
HNMT	ENSMUSG00000026986
EEF1AKNMT	ENSMUSG00000026694
COX8B	ENSMUSG00000025488
MYB	ENSMUSG00000019982
LRRN3	ENSMUSG00000036295
TRMT2B	ENSMUSG00000067369
PIK3R5	ENSMUSG00000020901
SRGAP2	ENSMUSG00000026425
JAM2	ENSMUSG00000053062
PABPC4L	ENSMUSG00000090919
CELF5	ENSMUSG00000034818
STOML1	ENSMUSG00000032333
ELOA	ENSMUSG00000028668
TOM1L2	ENSMUSG00000000538
PCNP	ENSMUSG00000071533
NACC2	ENSMUSG00000026932
METTL18	ENSMUSG00000041396
GM23318	ENSMUSG00000088625
SCG5	ENSMUSG00000023236
FAM172A	ENSMUSG00000064138
SLC12A4	ENSMUSG00000017765
KCNB1	ENSMUSG00000050556
MYH10	ENSMUSG00000020900
NUTF2	ENSMUSG00000008450
BTBD17	ENSMUSG00000000202
AKAP8	ENSMUSG00000024045
TBC1D24	ENSMUSG00000036473
TRO	ENSMUSG00000025272
REM2	ENSMUSG00000022176
ACADVL	ENSMUSG00000018574
PPP1R12A	ENSMUSG00000019907
UNC50	ENSMUSG00000026111
ARHGAP25	ENSMUSG00000030047
CSTF3	ENSMUSG00000027176
ATP6V1H	ENSMUSG00000033793
DNA2	ENSMUSG00000036875
GFRA1	ENSMUSG00000025089
TXN1	ENSMUSG00000028367
FOXO1	ENSMUSG00000044167
SYNC	ENSMUSG00000001333
CALHM5	ENSMUSG00000049872
IKZF1	ENSMUSG00000018654
SMU1	ENSMUSG00000028409
XYLT2	ENSMUSG00000020868
CHRNA7	ENSMUSG00000030525
PICALM	ENSMUSG00000039361
POLRMT	ENSMUSG00000020329
TRIM8	ENSMUSG00000025034
SLC26A7	ENSMUSG00000040569
C1QL2	ENSMUSG00000036907
MCAM	ENSMUSG00000032135
GSTT2	ENSMUSG00000033318
ZBTB34	ENSMUSG00000068966
FBLN5	ENSMUSG00000021186
ARMC1	ENSMUSG00000027599
PPP2R3D	ENSMUSG00000093803
GM7160	ENSMUSG00000099843
BLOC1S1	ENSMUSG00000090247
ANKRD11	ENSMUSG00000035569
ZFP941	ENSMUSG00000060314
TBC1D9	ENSMUSG00000031709
SYNCRIP	ENSMUSG00000032423
SGO2A	ENSMUSG00000026039
HIPK3	ENSMUSG00000027177
KLC3	ENSMUSG00000040714
INAVA	ENSMUSG00000041605
PROX1OS	ENSMUSG00000079045
GRAMD1C	ENSMUSG00000036292
DPYSL3	ENSMUSG00000024501
DENND3	ENSMUSG00000036661
ANKRD10	ENSMUSG00000031508
