NODE	LABEL	COLOR	SIZE	SHAPE	SECTOR	URL	MODULE	KD_MODULE	KD_TOP_MODULE	KD_BORDER_COLOR	KD_subnetwork_shown	LABELSIZE
5-(2-hydroxyethyl)-4-methylthiazole_feces	5-(2-hydroxyethyl)-4-methylthiazole_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified_meta	ANAEROFRUCAT-PWY: homolactic fermentation|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified_meta	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
ARO-PWY: chorismate biosynthesis I|unclassified_meta	ARO-PWY: chorismate biosynthesis I|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified_meta	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
CALVIN-PWY: Calvin-Benson-Bassham cycle_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified_meta	CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified_meta	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	ECASYN-PWY: enterobacterial common antigen biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified_meta	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified_meta	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
GlcNAc sulfate conjugate of C21H34O2 steroid**_feces	GlcNAc sulfate conjugate of C21H34O2 steroid**_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified_meta	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
LACTOSECAT-PWY: lactose and galactose degradation I_meta	LACTOSECAT-PWY: lactose and galactose degradation I_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
P161-PWY: acetylene degradation|unclassified_meta	P161-PWY: acetylene degradation|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-1042: glycolysis IV (plant cytosol)|unclassified_meta	PWY-1042: glycolysis IV (plant cytosol)|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-5100: pyruvate fermentation to acetate and lactate II_meta	PWY-5100: pyruvate fermentation to acetate and lactate II_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified_meta	PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-5103: L-isoleucine biosynthesis III|unclassified_meta	PWY-5103: L-isoleucine biosynthesis III|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Anaerostipes.s__Anaerostipes_caccae_meta	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Anaerostipes.s__Anaerostipes_caccae_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified_meta	PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
PWY-5676: acetyl-CoA fermentation to butanoate II_meta	PWY-5676: acetyl-CoA fermentation to butanoate II_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY-5898: superpathway of menaquinol-12 biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-5898: superpathway of menaquinol-12 biosynthesis|g__Citrobacter.s__Citrobacter_farmeri_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Citrobacter.s__Citrobacter_farmeri_meta	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Citrobacter.s__Citrobacter_farmeri_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified_meta	PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Enterococcus.s__Enterococcus_casseliflavus_meta	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Enterococcus.s__Enterococcus_casseliflavus_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified_meta	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified_meta	PWY-6151: S-adenosyl-L-methionine cycle I|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified_meta	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6317: galactose degradation I (Leloir pathway)|unclassified_meta	PWY-6317: galactose degradation I (Leloir pathway)|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)_meta	PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6527: stachyose degradation|unclassified_meta	PWY-6527: stachyose degradation|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
PWY-6609: adenine and adenosine salvage III|unclassified_meta	PWY-6609: adenine and adenosine salvage III|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6703: preQ0 biosynthesis|unclassified_meta	PWY-6703: preQ0 biosynthesis|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
PWY-6731: starch degradation III_meta	PWY-6731: starch degradation III_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6737: starch degradation V|unclassified_meta	PWY-6737: starch degradation V|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-6749: CMP-legionaminate biosynthesis I|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	PWY-6749: CMP-legionaminate biosynthesis I|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified_meta	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified_meta	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified_meta	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY-7237: myo-, chiro- and scillo-inositol degradation_meta	PWY-7237: myo-, chiro- and scillo-inositol degradation_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY0-1296: purine ribonucleosides degradation|g__Anaerostipes.s__Anaerostipes_caccae_meta	PWY0-1296: purine ribonucleosides degradation|g__Anaerostipes.s__Anaerostipes_caccae_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
PWY0-1296: purine ribonucleosides degradation|unclassified_meta	PWY0-1296: purine ribonucleosides degradation|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|unclassified_meta	PWY0-1297: superpathway of purine deoxyribonucleosides degradation|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
PWY66-422: D-galactose degradation V (Leloir pathway)|unclassified_meta	PWY66-422: D-galactose degradation V (Leloir pathway)|unclassified_meta	#cfcfcf	50	Ellipse				Not a KD	Not a KD	Not a KD	Not a KD	12
TRNA-CHARGING-PWY: tRNA charging|g__Citrobacter.s__Citrobacter_farmeri_meta	TRNA-CHARGING-PWY: tRNA charging|g__Citrobacter.s__Citrobacter_farmeri_meta	#cfcfcf	200	Diamond				midnightblue_feces,darkturquoise_feces	midnightblue_feces	#FF9F7F	YES	30
VALSYN-PWY: L-valine biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	VALSYN-PWY: L-valine biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
VALSYN-PWY: L-valine biosynthesis|unclassified_meta	VALSYN-PWY: L-valine biosynthesis|unclassified_meta	#cfcfcf	100	Diamond				midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
adipate (C6-DC)_feces	adipate (C6-DC)_feces	#ECFF7F	100	Diamond	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
allantoin_feces	allantoin_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
alpha-ketoglutarate_feces	alpha-ketoglutarate_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
diacylglycerol (14:0/18:1, 16:0/16:1) [1]*_feces	diacylglycerol (14:0/18:1, 16:0/16:1) [1]*_feces	#ECFF7F	100	Diamond	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
famotidine_feces	famotidine_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
glutamyl-meso-diaminopimelate_feces	glutamyl-meso-diaminopimelate_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
hexadecenedioate (C16:1-DC)*_feces	hexadecenedioate (C16:1-DC)*_feces	#ECFF7F	100	Diamond	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
hydroxymethylpyrimidine_feces	hydroxymethylpyrimidine_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
itaconate_feces	itaconate_feces	#A3FFB2	100	Ellipse	1:FF9F7F,1:A3FFB2	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1,1&chco=FF9F7F|A3FFB2	midnightblue_feces,DEG_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
mannitol/sorbitol_feces	mannitol/sorbitol_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*_feces	oleoyl-oleoyl-glycerol (18:1/18:1) [2]*_feces	#ECFF7F	100	Diamond	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
pantothenate_feces	pantothenate_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
phenylpyruvate_feces	phenylpyruvate_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
pregnenediol sulfate (C21H34O5S)*_feces	pregnenediol sulfate (C21H34O5S)*_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
taurodeoxycholic acid 3-sulfate_feces	taurodeoxycholic acid 3-sulfate_feces	#ECFF7F	100	Ellipse	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
thiamin (vitamin B1)_feces	thiamin (vitamin B1)_feces	#FF9F7F	100	Ellipse	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
tyramine O-sulfate_feces	tyramine O-sulfate_feces	#ECFF7F	100	Ellipse	1:ECFF7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=ECFF7F	darkturquoise_feces	Not a KD	Not a KD	Not a KD	Not a KD	20
vanillin_feces	vanillin_feces	#FF9F7F	100	Diamond	1:FF9F7F	http://chart.apis.google.com/chart?cht=p&chs=200x200&chf=bg,s,00000000&chd=t:1&chco=FF9F7F	midnightblue_feces	midnightblue_feces	midnightblue_feces	#FF9F7F	NO	20
